İstasyon No,İstasyon Adı,Hizmet Şekli,Marka,Şarj Ağı İşletmecisi,Şarj İstasyonu İşletmecisi,Adres,Soket Bilgileri,Detaylı Soket Bilgisi (kW/Tip)
ŞRJ/15959,Şehristan Konutları,Özel,solarşarj,SOLAR ARAÇ ŞARJ HİZMETLERİ ANONİM ŞİRKETİ,SOLAR ARAÇ ŞARJ HİZMETLERİ ANONİM ŞİRKETİ,Lapaşa Mahallesi İstanbulkapı Caddesi No:1 Şehristan Konutları Yakutiye / ERZURUM,,Buton yok veya okunamadı
ŞRJ/4951,Akol Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Cevatpaşa Mahallesi Kayserili Ahmet Paşa Caddesi No:32 Merkez / ÇANAKKALE,,Buton yok veya okunamadı
ŞRJ/6774,Çanakkale Kipa,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Barbaros Mahallesi Atatürk Caddesi No:221 Merkez / ÇANAKKALE,,Buton yok veya okunamadı
ŞRJ/6776,İris Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Mola Caddesi No:48 Güzelyalı Mevkii Merkez / ÇANAKKALE,,Buton yok veya okunamadı
ŞRJ/4885,Parion Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İsmet Paşa Mahallesi Demircioğlu Caddesi No:132 Merkez / ÇANAKKALE,,Buton yok veya okunamadı
ŞRJ/7131,Troia Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Güzelyalı Mahallesi Tusan Caddesi No:85 Merkez / ÇANAKKALE,,Buton yok veya okunamadı
ŞRJ/7065,İDİLİA KONUTLARI,Özel,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,Adil Mahallesi Ayazma Sokağı No:21 Sultanbeyli / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/15970,ARMADA GRAND PLAZA,Özel,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,Portokal Mahallesi Karaisalı Sokağı No:31B Toroslar / MERSİN,,Buton yok veya okunamadı
ŞRJ/15971,ARZEN CAFE RESTAURANT,Halka Açık,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,E80 Karayolu Mahallesi Dadaşkent Sokağı No:5KM Aziziye / ERZURUM,,Buton yok veya okunamadı
ŞRJ/15973,Anıl Otomotiv Arsuz,Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Karaağaç Cumhuriyet Mahallesi 830. Sokağı No:1 Arsuz / HATAY,,Buton yok veya okunamadı
ŞRJ/15974,Kovan Spor Kültürü Merkezi Otopark,Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Cevizli Mahallesi Hızır Reis Sokağı No:14-16-1 Maltepe / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/15976,"Kadooğlu Emek, Gaziantep",Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Emek Mahallesi 19017 Nolu Sokağı No:1 Şehitkamil / GAZİANTEP,,Buton yok veya okunamadı
ŞRJ/15975,AŞİYAN KONAKLARI DÜZCE 1,Özel,i-şarj,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,Körpeşler Mah. Mahallesi 1435. Sk Sokağı No:45 Merkez / DÜZCE,,Buton yok veya okunamadı
ŞRJ/15977,AŞİYAN KONAKLARI DÜZCE 2,Özel,i-şarj,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,Körpeşler Mahallesi 1435. Sokağı No:45 Merkez / DÜZCE,,Buton yok veya okunamadı
ŞRJ/15978,"Hanece AVM, Elazığ",Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Heybet Mahallesi Elazığ Caddesi No:10 Kovancılar / ELAZIĞ,,Buton yok veya okunamadı
ŞRJ/15980,"PO, Sinan Ateş, Elazığ",Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Elazığ Bingöl Yolu 80. Km Mahallesi No:20 Karakoçan / ELAZIĞ,,Buton yok veya okunamadı
ŞRJ/15984,MEHMET KOÇ SİTESİ A BLOK,Halka Açık,i-şarj,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,Güneşli Mahallesi Emirhan 18. Sokağı No:2 A BLOK Merkez / TOKAT,,Buton yok veya okunamadı
ŞRJ/15985,MEHMET KOÇ SİTESİ D BLOK,Halka Açık,i-şarj,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,Güneşli Mahallesi Emirhan 18. Sokağı No:8 D BLOK Merkez / TOKAT,,Buton yok veya okunamadı
ŞRJ/15991,Balıkesir Ticaret Merkezi,Halka Açık,Trugo,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Hacı İlbey Mahallesi Anafartalar Caddesi No:48 Altıeylül / BALIKESİR,,Buton yok veya okunamadı
ŞRJ/5907,NEVŞEHİR GÖREME EMPİRE CAVE HOTEL,Halka Açık,i-şarj,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,Aydınlı-orta Mahallesi Adnan Kahveci Caddesi No:42 Göreme Merkez / NEVŞEHİR,,Buton yok veya okunamadı
