İstasyon No,İstasyon Adı,Hizmet Şekli,Marka,Şarj Ağı İşletmecisi,Şarj İstasyonu İşletmecisi,Adres,Soket Bilgileri,Detaylı Soket Bilgisi (kW/Tip)
ŞRJ/16043,Gülnar Dinlenme Tesisleri,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Gülçayır Mahallesi Gülçayır Sokağı No:72 Sivrihisar / ESKİŞEHİR,,Buton yok veya okunamadı
ŞRJ/16044,Kayalı Akaryakıt Manisa,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Hürriyet Mahallesi 15 Sokağı No:218/1 Akhisar / MANİSA,,Buton yok veya okunamadı
ŞRJ/16045,MiniMALL Lüleburgaz,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yılmaz Mahallesi Edirne Caddesi No:1 Lüleburgaz / KIRKLARELİ,,Buton yok veya okunamadı
ŞRJ/16049,Monachus Family Resort Sorgun,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Göynük Mahallesi No:12 Titreyengöl Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/16050,Novacity AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Merkez Mahallesi Alparslan Türkeş Sokağı No:78 Erdemli / MERSİN,,Buton yok veya okunamadı
ŞRJ/2762,ARSEN HOTEL & A.K.C PETROL,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yeşilyalı Mahallesi Necmettin Karaduman Caddesi No:1 /4 Arsin / TRABZON,,Buton yok veya okunamadı
ŞRJ/16054,Terzioğlu Vakfı Hat Eğitim Merkezi,Halka Açık,EN YAKIT,EN YAKIT ANONİM ŞİRKETİ,ÇANAKKALE HAT EĞİTİM YURT SOSYAL HİZMETLER İNŞAAT ENERJİ TARIM ULAŞTIRMA SANAYİ VE TİCARET A.Ş.,Barbaros Mahallesi Samyolu Sokağı No:17 Merkez / ÇANAKKALE,,Buton yok veya okunamadı
ŞRJ/16056,Opet Demgün Petrol,Halka Açık,EN YAKIT,EN YAKIT ANONİM ŞİRKETİ,DEMGÜN ENERJİ YAPI SANAYİ TİCARET LİMİTED ŞİRKETİ,Narlı Cumhuriyet Mahallesi 4 Sokağı Pazarcık / KAHRAMANMARAŞ,,Buton yok veya okunamadı
ŞRJ/16058,Ulukışla Kırkgeçit İpekyolu Tesisleri,Halka Açık,EN YAKIT,EN YAKIT ANONİM ŞİRKETİ,POZANTI İPEKYOLU OTOYOL H.T.Y.T.G.T.VE.Kİ.E.T.T.S.TİC.LTD.ŞT,Küme1 Mahallesi Tarsus Caddesi Ulukışla / NİĞDE,,Buton yok veya okunamadı
ŞRJ/16059,Yedi Mavi-Kapalı Otopark,Özel,EN YAKIT,EN YAKIT ANONİM ŞİRKETİ,EN YAKIT ANONİM ŞİRKETİ,Kazlıçeşme Mahallesi Kennedy Caddesi No:54 Zeytinburnu / İSTANBUL,,Buton yok veya okunamadı
